"";"Source";"Package";"Require";"Version";"Dev"
"1";"/analysis/paper/scripts/14C-daten.R";"Bchron";"";"";FALSE
"2";"/analysis/paper/scripts/14C-daten.R";"c14bazAAR";"";"";FALSE
"3";"/analysis/paper/scripts/14C-daten.R";"chronochrt";"";"";FALSE
"4";"/analysis/paper/scripts/14C-daten.R";"dplyr";"";"";FALSE
"5";"/analysis/paper/scripts/14C-daten.R";"ggh4x";"";"";FALSE
"6";"/analysis/paper/scripts/14C-daten.R";"ggplot2";"";"";FALSE
"7";"/analysis/paper/scripts/14C-daten.R";"ggridges";"";"";FALSE
"8";"/analysis/paper/scripts/14C-daten.R";"magrittr";"";"";FALSE
"9";"/analysis/paper/scripts/14C-daten.R";"stringr";"";"";FALSE
"10";"/analysis/paper/scripts/14C-daten.R";"svglite";"";"";FALSE
"11";"/analysis/paper/scripts/14C-daten.R";"tidyr";"";"";FALSE
"12";"/analysis/paper/scripts/keramik_gefform_01_datenvorbereitung.R";"dplyr";"";"";FALSE
"13";"/analysis/paper/scripts/keramik_gefform_01_datenvorbereitung.R";"ggplot2";"";"";FALSE
"14";"/analysis/paper/scripts/keramik_gefform_01_datenvorbereitung.R";"stringr";"";"";FALSE
"15";"/analysis/paper/scripts/keramik_gefform_01_datenvorbereitung.R";"tidyr";"";"";FALSE
"16";"/analysis/paper/scripts/keramik_gefform_02_randformen.R";"dplyr";"";"";FALSE
"17";"/analysis/paper/scripts/keramik_gefform_02_randformen.R";"ggh4x";"";"";FALSE
"18";"/analysis/paper/scripts/keramik_gefform_02_randformen.R";"ggplot2";"";"";FALSE
"19";"/analysis/paper/scripts/keramik_gefform_02_randformen.R";"scales";"";"";FALSE
"20";"/analysis/paper/scripts/keramik_gefform_02_randformen.R";"viridis";"";"";FALSE
"21";"/analysis/paper/scripts/keramik_gefform_03_gef_symmetrien.R";"dplyr";"";"";FALSE
"22";"/analysis/paper/scripts/keramik_gefform_03_gef_symmetrien.R";"ggh4x";"";"";FALSE
"23";"/analysis/paper/scripts/keramik_gefform_03_gef_symmetrien.R";"ggplot2";"";"";FALSE
"24";"/analysis/paper/scripts/keramik_gefform_03_gef_symmetrien.R";"viridis";"";"";FALSE
"25";"/analysis/paper/scripts/keramik_gefform_04_boden.R";"dplyr";"";"";FALSE
"26";"/analysis/paper/scripts/keramik_gefform_04_boden.R";"ggh4x";"";"";FALSE
"27";"/analysis/paper/scripts/keramik_gefform_04_boden.R";"ggplot2";"";"";FALSE
"28";"/analysis/paper/scripts/keramik_gefform_04_boden.R";"viridis";"";"";FALSE
"29";"/analysis/paper/scripts/keramik_gefform_06_handhaben.R";"dplyr";"";"";FALSE
"30";"/analysis/paper/scripts/keramik_gefform_06_handhaben.R";"forcats";"";"";FALSE
"31";"/analysis/paper/scripts/keramik_gefform_06_handhaben.R";"ggh4x";"";"";FALSE
"32";"/analysis/paper/scripts/keramik_gefform_06_handhaben.R";"ggplot2";"";"";FALSE
"33";"/analysis/paper/scripts/keramik_gefform_06_handhaben.R";"stringr";"";"";FALSE
"34";"/analysis/paper/scripts/keramik_gefform_06_handhaben.R";"viridis";"";"";FALSE
"35";"/analysis/paper/scripts/keramik_gefform_08_RDA.R";"dplyr";"";"";FALSE
"36";"/analysis/paper/scripts/keramik_gefform_08_RDA.R";"FD";"";"";FALSE
"37";"/analysis/paper/scripts/keramik_gefform_08_RDA.R";"forcats";"";"";FALSE
"38";"/analysis/paper/scripts/keramik_gefform_08_RDA.R";"geomtextpath";"";"";FALSE
"39";"/analysis/paper/scripts/keramik_gefform_08_RDA.R";"ggforce";"";"";FALSE
"40";"/analysis/paper/scripts/keramik_gefform_08_RDA.R";"ggplot2";"";"";FALSE
"41";"/analysis/paper/scripts/keramik_gefform_08_RDA.R";"vegan";"";"";FALSE
"42";"/analysis/paper/scripts/keramik_machart_01_datenvorbereitung.R";"dplyr";"";"";FALSE
"43";"/analysis/paper/scripts/keramik_machart_01_datenvorbereitung.R";"stringr";"";"";FALSE
"44";"/analysis/paper/scripts/keramik_machart_02_oberflaeche.R";"dplyr";"";"";FALSE
"45";"/analysis/paper/scripts/keramik_machart_02_oberflaeche.R";"ggh4x";"";"";FALSE
"46";"/analysis/paper/scripts/keramik_machart_02_oberflaeche.R";"ggplot2";"";"";FALSE
"47";"/analysis/paper/scripts/keramik_machart_02_oberflaeche.R";"stringr";"";"";FALSE
"48";"/analysis/paper/scripts/keramik_machart_02_oberfllaeche.R";"dplyr";"";"";FALSE
"49";"/analysis/paper/scripts/keramik_machart_02_oberfllaeche.R";"ggh4x";"";"";FALSE
"50";"/analysis/paper/scripts/keramik_machart_02_oberfllaeche.R";"ggplot2";"";"";FALSE
"51";"/analysis/paper/scripts/keramik_machart_02_oberfllaeche.R";"stringr";"";"";FALSE
"52";"/analysis/paper/scripts/keramik_machart_03_magerung.R";"dplyr";"";"";FALSE
"53";"/analysis/paper/scripts/keramik_machart_03_magerung.R";"ggh4x";"";"";FALSE
"54";"/analysis/paper/scripts/keramik_machart_03_magerung.R";"ggplot2";"";"";FALSE
"55";"/analysis/paper/scripts/keramik_machart_03_magerung.R";"stringr";"";"";FALSE
"56";"/analysis/paper/scripts/keramik_machart_03_magerung.R";"tidyr";"";"";FALSE
"57";"/analysis/paper/scripts/keramik_machart_04_bruch.R";"dplyr";"";"";FALSE
"58";"/analysis/paper/scripts/keramik_machart_04_bruch.R";"ggh4x";"";"";FALSE
"59";"/analysis/paper/scripts/keramik_machart_04_bruch.R";"ggplot2";"";"";FALSE
"60";"/analysis/paper/scripts/keramik_machart_04_bruch.R";"stringr";"";"";FALSE
"61";"/analysis/paper/scripts/keramik_machart_04_bruch.R";"viridis";"";"";FALSE
"62";"/analysis/paper/scripts/keramik_machart_05_wandung.R";"reshape2";"";"";FALSE
"63";"/analysis/paper/scripts/keramik_machart_06_stat_test.R";"dplyr";"";"";FALSE
"64";"/analysis/paper/scripts/keramik_machart_06_stat_test.R";"reshape2";"";"";FALSE
"65";"/analysis/paper/scripts/keramik_machart_06_stat_test.R";"wPerm";"";"";FALSE
"66";"/analysis/paper/scripts/keramik_machart_07_dbRDA.R";"FD";"";"";FALSE
"67";"/analysis/paper/scripts/keramik_machart_07_dbRDA.R";"geomtextpath";"";"";FALSE
"68";"/analysis/paper/scripts/keramik_machart_07_dbRDA.R";"ggforce";"";"";FALSE
"69";"/analysis/paper/scripts/keramik_machart_07_dbRDA.R";"tidyverse";"";"";FALSE
"70";"/analysis/paper/scripts/keramik_verz_01_datenvorbereitung.R";"dplyr";"";"";FALSE
"71";"/analysis/paper/scripts/keramik_verz_01_datenvorbereitung.R";"ggh4x";"";"";FALSE
"72";"/analysis/paper/scripts/keramik_verz_01_datenvorbereitung.R";"ggplot2";"";"";FALSE
"73";"/analysis/paper/scripts/keramik_verz_01_datenvorbereitung.R";"stringr";"";"";FALSE
"74";"/analysis/paper/scripts/keramik_verz_01_datenvorbereitung.R";"tidyr";"";"";FALSE
"75";"/analysis/paper/scripts/keramik_verz_01_datenvorbereitung.R";"viridis";"";"";FALSE
"76";"/analysis/paper/scripts/keramik_verz_02_techniken.R";"dplyr";"";"";FALSE
"77";"/analysis/paper/scripts/keramik_verz_02_techniken.R";"ggh4x";"";"";FALSE
"78";"/analysis/paper/scripts/keramik_verz_02_techniken.R";"ggplot2";"";"";FALSE
"79";"/analysis/paper/scripts/keramik_verz_02_techniken.R";"stringr";"";"";FALSE
"80";"/analysis/paper/scripts/keramik_verz_03_elemente.R";"dplyr";"";"";FALSE
"81";"/analysis/paper/scripts/keramik_verz_03_elemente.R";"ggh4x";"";"";FALSE
"82";"/analysis/paper/scripts/keramik_verz_03_elemente.R";"ggplot2";"";"";FALSE
"83";"/analysis/paper/scripts/keramik_verz_03_elemente.R";"scales";"";"";FALSE
"84";"/analysis/paper/scripts/keramik_verz_03_elemente.R";"stringr";"";"";FALSE
"85";"/analysis/paper/scripts/keramik_verz_04_muster_baender.R";"dplyr";"";"";FALSE
"86";"/analysis/paper/scripts/keramik_verz_04_muster_baender.R";"ggh4x";"";"";FALSE
"87";"/analysis/paper/scripts/keramik_verz_04_muster_baender.R";"ggplot2";"";"";FALSE
"88";"/analysis/paper/scripts/keramik_verz_04_muster_baender.R";"stringr";"";"";FALSE
"89";"/analysis/paper/scripts/keramik_verz_05_muster_winkel.R";"dplyr";"";"";FALSE
"90";"/analysis/paper/scripts/keramik_verz_05_muster_winkel.R";"ggh4x";"";"";FALSE
"91";"/analysis/paper/scripts/keramik_verz_05_muster_winkel.R";"ggplot2";"";"";FALSE
"92";"/analysis/paper/scripts/keramik_verz_05_muster_winkel.R";"stringr";"";"";FALSE
"93";"/analysis/paper/scripts/keramik_verz_06_muster_3-4eck.R";"dplyr";"";"";FALSE
"94";"/analysis/paper/scripts/keramik_verz_06_muster_3-4eck.R";"ggh4x";"";"";FALSE
"95";"/analysis/paper/scripts/keramik_verz_06_muster_3-4eck.R";"ggplot2";"";"";FALSE
"96";"/analysis/paper/scripts/keramik_verz_06_muster_3-4eck.R";"stringr";"";"";FALSE
"97";"/analysis/paper/scripts/keramik_verz_07_randstiche.R";"dplyr";"";"";FALSE
"98";"/analysis/paper/scripts/keramik_verz_07_randstiche.R";"ggh4x";"";"";FALSE
"99";"/analysis/paper/scripts/keramik_verz_07_randstiche.R";"ggplot2";"";"";FALSE
"100";"/analysis/paper/scripts/keramik_verz_07_randstiche.R";"stringr";"";"";FALSE
"101";"/analysis/paper/scripts/keramik_verz_08_ornamente.R";"dplyr";"";"";FALSE
"102";"/analysis/paper/scripts/keramik_verz_08_ornamente.R";"ggh4x";"";"";FALSE
"103";"/analysis/paper/scripts/keramik_verz_08_ornamente.R";"ggplot2";"";"";FALSE
"104";"/analysis/paper/scripts/keramik_verz_08_ornamente.R";"tidyr";"";"";FALSE
"105";"/analysis/paper/scripts/keramik_verz_09_testen.R";"dplyr";"";"";FALSE
"106";"/analysis/paper/scripts/keramik_verz_09_testen.R";"ggh4x";"";"";FALSE
"107";"/analysis/paper/scripts/keramik_verz_09_testen.R";"ggplot2";"";"";FALSE
"108";"/analysis/paper/scripts/keramik_verz_09_testen.R";"rcompanion";"";"";FALSE
"109";"/analysis/paper/scripts/keramik_verz_09_testen.R";"reshape2";"";"";FALSE
"110";"/analysis/paper/scripts/keramik_verz_09_testen.R";"stringr";"";"";FALSE
"111";"/analysis/paper/scripts/keramik_verz_09_testen.R";"wPerm";"";"";FALSE
"112";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"ade4";"";"";FALSE
"113";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"dplyr";"";"";FALSE
"114";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"FD";"";"";FALSE
"115";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"geomtextpath";"";"";FALSE
"116";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"ggh4x";"";"";FALSE
"117";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"ggplot2";"";"";FALSE
"118";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"stringr";"";"";FALSE
"119";"/analysis/paper/scripts/keramik_verz_10_RDA.R";"vegan";"";"";FALSE
"120";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"dplyr";"";"";FALSE
"121";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"FD";"";"";FALSE
"122";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"ggh4x";"";"";FALSE
"123";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"ggplot2";"";"";FALSE
"124";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"sf";"";"";FALSE
"125";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"tidyr";"";"";FALSE
"126";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"vegan";"";"";FALSE
"127";"/analysis/paper/scripts/standortanalyse_01_datenvorbereitung.R";"viridis";"";"";FALSE
"128";"/analysis/paper/scripts/standortanalyse_02_fundstellendichten.R";"cowplot";"";"";FALSE
"129";"/analysis/paper/scripts/standortanalyse_02_fundstellendichten.R";"ggh4x";"";"";FALSE
"130";"/analysis/paper/scripts/standortanalyse_03_datenvorbereitung_rasterdaten.R";"dplyr";"";"";FALSE
"131";"/analysis/paper/scripts/standortanalyse_03_datenvorbereitung_rasterdaten.R";"stringr";"";"";FALSE
"132";"/analysis/paper/scripts/standortanalyse_04_erosionsgefahr.R";"dplyr";"";"";FALSE
"133";"/analysis/paper/scripts/standortanalyse_04_erosionsgefahr.R";"ggh4x";"";"";FALSE
"134";"/analysis/paper/scripts/standortanalyse_04_erosionsgefahr.R";"ggplot2";"";"";FALSE
"135";"/analysis/paper/scripts/standortanalyse_04_erosionsgefahr.R";"stringr";"";"";FALSE
"136";"/analysis/paper/scripts/standortanalyse_04_erosionsgefahr.R";"tidyr";"";"";FALSE
"137";"/analysis/paper/scripts/standortanalyse_04_erosionsgefahr.R";"viridis";"";"";FALSE
"138";"/analysis/paper/scripts/standortanalyse_05_hoehenlage.R";"dplyr";"";"";FALSE
"139";"/analysis/paper/scripts/standortanalyse_05_hoehenlage.R";"tidyr";"";"";FALSE
"140";"/analysis/paper/scripts/standortanalyse_07_bodenfeuchteindex.R";"DataScienceR";"";"";FALSE
"141";"/analysis/paper/scripts/standortanalyse_08_analyse_Seen.R";"compositions";"";"";FALSE
"142";"/analysis/paper/scripts/standortanalyse_08_analyse_Seen.R";"ggh4x";"";"";FALSE
"143";"/analysis/paper/scripts/standortanalyse_08_analyse_Seen.R";"ggplot2";"";"";FALSE
"144";"/analysis/paper/scripts/standortanalyse_08_analyse_Seen.R";"sf";"";"";FALSE
"145";"/analysis/paper/scripts/standortanalyse_08_analyse_Seen.R";"stringr";"";"";FALSE
"146";"/analysis/paper/scripts/standortanalyse_08_analyse_Seen.R";"vegan";"";"";FALSE
"147";"/analysis/paper/scripts/standortanalyse_08_analyse_Seen.R";"viridis";"";"";FALSE
"148";"/analysis/paper/scripts/standortanalyse_09_analyseBUEK-HG.R";"compositions";"";"";FALSE
"149";"/analysis/paper/scripts/standortanalyse_09_analyseBUEK-HG.R";"vegan";"";"";FALSE
"150";"/analysis/paper/scripts/standortanalyse_11_analyse_Schwarzerden.R";"ggh4x";"";"";FALSE
"151";"/analysis/paper/scripts/standortanalyse_11_analyse_Schwarzerden.R";"ggplot2";"";"";FALSE
"152";"/analysis/paper/scripts/standortanalyse_11_analyse_Schwarzerden.R";"stringr";"";"";FALSE
"153";"/analysis/paper/scripts/standortanalyse_11_analyse_Schwarzerden.R";"viridis";"";"";FALSE
"154";"/analysis/paper/scripts/standortanalyse_13_analyse_BZ_grabloecher_vorb.R";"dplyr";"";"";FALSE
"155";"/analysis/paper/scripts/standortanalyse_13_analyse_BZ_grabloecher_vorb.R";"sf";"";"";FALSE
"156";"/analysis/paper/scripts/standortanalyse_14_analyse_BZ_grabloecher_plots.R";"DataScienceR";"";"";FALSE
"157";"/analysis/paper/scripts/standortanalyse_14_analyse_BZ_grabloecher_plots.R";"ggh4x";"";"";FALSE
"158";"/analysis/paper/scripts/standortanalyse_14_analyse_BZ_grabloecher_plots.R";"ggplot2";"";"";FALSE
"159";"/analysis/paper/scripts/standortanalyse_14_analyse_BZ_grabloecher_plots.R";"stringr";"";"";FALSE
"160";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"dplyr";"";"";FALSE
"161";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"FD";"";"";FALSE
"162";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"geomtextpath";"";"";FALSE
"163";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"ggforce";"";"";FALSE
"164";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"ggplot2";"";"";FALSE
"165";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"stringr";"";"";FALSE
"166";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"tidyverse";"";"";FALSE
"167";"/analysis/paper/scripts/standortanalyse_17_mult_var.R";"vegan";"";"";FALSE
"168";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"dplyr";"";"";FALSE
"169";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"ggh4x";"";"";FALSE
"170";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"ggplot2";"";"";FALSE
"171";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"plyr";"";"";FALSE
"172";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"scales";"";"";FALSE
"173";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"sf";"";"";FALSE
"174";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"stringr";"";"";FALSE
"175";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"tidyr";"";"";FALSE
"176";"/analysis/paper/scripts/standortanalyse_20_datenvorbereitung.R";"viridis";"";"";FALSE
"177";"/analysis/paper/scripts/standortanalyse_21_plots.R";"stringr";"";"";FALSE
"178";"/analysis/paper/scripts/standortanalyse_22_mult_var.R";"compositions";"";"";FALSE
"179";"/R_functions/creating_tables_for_print_catalogue.R";"dplyr";"";"";FALSE
"180";"/R_functions/creating_tables_for_print_catalogue.R";"readODS";"";"";FALSE
"181";"/R_functions/creating_tables_for_print_catalogue.R";"sf";"";"";FALSE
"182";"/R_functions/get_ks.R";"dplyr";"";"";FALSE
"183";"/R_functions/get_p_wilcoxon.R";"dplyr";"";"";FALSE
"184";"/R_functions/get_p_wilcoxon.R";"reshape2";"";"";FALSE
"185";"/R_functions/get_p-adj_chiperm.R";"dplyr";"";"";FALSE
"186";"/R_functions/get_p-adj_chiperm.R";"stringr";"";"";FALSE
"187";"/R_functions/get_p-adj_chiperm.R";"wPerm";"";"";FALSE
